"id","left_name","right_name","left_odds","right_odds","weight_class","date","fight_id"
1059,"Terrance McKinney","Erick Gonzalez",-900,600,"155","2022-08-06",893
2318,"Punahele Soriano","Duško Todorović",140,-165,"185","2021-01-16",1756
3251,"Viviane Araujo","Talita Bernardo",230,-280,"135","2019-05-11",2560
4063,"Derek Brunson","Lyoto Machida",-155,135,"185","2017-10-28",3315
6903,"Stefan Struve","Dave Herman",-115,-115,"265","2012-02-15",5812
5806,"Beneil Dariush","Diego Ferreira",175,-220,"155","2014-10-25",4725
6599,"David Mitchell","Simeon Thoresen",200,-240,"170","2013-01-26",5508
7562,"Tyson Griffin","Hermes França",-323,270,"159","2009-09-19",6498
8310,"Robbie Lawler","Tiki Ghosn",-240,200,"170","2002-11-22",7350
590,"Ailin Perez","Ashlee Evans-Smith",-240,190,"135","2023-07-15",424
1060,"Michał Oleksiejczuk","Sam Alvey",-600,450,"185","2022-08-06",894
2327,"Rob Font","Marlon Moraes",130,-155,"135","2020-12-19",1765
3266,"Mike Perry","Alex Oliveira",140,-175,"170","2019-04-27",2575
4075,"Darren Till","Donald Cerrone",135,-150,"170","2017-10-21",3327
6939,"Fabrício Camões","Tommy Hayden",-325,270,"155","2012-01-20",5848
5814,"Raphael Assunção","Bryan Caraway",-450,350,"135","2014-10-04",4733
6602,"Gabriel Gonzaga","Ben Rothwell",-125,-110,"265","2013-01-19",5511
7573,"Carlos Condit","Jake Ellenberger",-408,357,"170","2009-09-16",6509
2235,"Aleksandar Rakić","Thiago Santos",-190,155,"205","2021-03-06",1636
1089,"Victoria Leonardo","Mandy Böhm",-105,-115,"125","2022-07-23",923
2336,"Deiveson Figueiredo","Brandon Moreno",-345,275,"125","2020-12-12",1774
3276,"Dhiego Lima","Court McGee",125,-155,"170","2019-04-27",2585
4087,"Demetrious Johnson","Ray Borg",-1200,600,"125","2017-10-07",3339
6960,"Jacob Volkmann","Efrain Escudero",-240,195,"155","2011-12-30",5869
5829,"Magnus Cedenblad","Scott Askham",-135,115,"185","2014-10-04",4748
6607,"Edson Barboza","Lucas Martins",-350,275,"155","2013-01-19",5516
7584,"Nate Marquardt","Demian Maia",-195,160,"185","2009-08-29",6520
2248,"Montana De La Rosa","Mayra Bueno Silva",-120,105,"125","2021-02-27",1649
1105,"Said Nurmagomedov","Douglas Silva de Andrade",-450,350,"135","2022-07-09",939
2348,"Gabriel Benítez","Justin Jaynes",-220,190,"155","2020-12-05",1786
3286,"Michał Oleksiejczuk","Gadzhimurad Antigulov",-215,170,"205","2019-04-20",2595
4103,"Keita Nakamura","Alex Morono",110,-135,"77","2017-09-22",3355
6764,"Forrest Griffin","Tito Ortiz",-300,250,"205","2012-07-07",5673
6623,"Roy Nelson","Matt Mitrione",-200,170,"265","2012-12-15",5532
7595,"Johny Hendricks","Amir Sadollah",-112,-109,"170","2009-08-08",6531
2262,"John Castañeda","Eddie Wineland",-125,105,"135","2021-02-20",1663
5070,"Mauricio Rua","Corey Anderson",130,-150,"205","2016-05-14",4000
1120,"Jim Miller","Donald Cerrone",-190,160,"170","2022-07-02",954
2363,"Nate Maness","Luke Sanders",130,-155,"140","2020-11-28",1801
3299,"Poliana Botelho","Lauren Mueller",-160,130,"125","2019-04-13",2608
4117,"Amanda Nunes","Valentina Shevchenko",105,-135,"135","2017-09-09",3369
5082,"Germaine de Randamie","Anna Elmose",-400,315,"135","2016-05-08",4012
5858,"Yoshihiro Akiyama","Amir Sadollah",-155,145,"77","2014-09-20",4768
6633,"Tim Elliott","Jared Papazian",-190,160,"125","2012-12-15",5542
7606,"Dan Henderson","Michael Bisping",-223,175,"185","2009-07-11",6542
2279,"Clay Guida","Michael Johnson",165,-185,"155","2021-02-06",1680
1129,"Thiago Moisés","Christos Giagos",-240,200,"155","2022-06-25",963
2374,"Kyle Daukaus","Dustin Stoltzfus",-315,250,"185","2020-11-21",1812
3314,"Anthony Pettis","Stephen Thompson",320,-425,"170","2019-03-23",2623
4126,"Arjan Bhullar","Luis Henrique",-215,175,"265","2017-09-09",3378
5097,"Sergio Pettis","Chris Kelades",-220,175,"125","2016-04-23",4027
5869,"Gleison Tibau","Piotr Hallmann",-240,200,"155","2014-09-13",4779
7618,"Joe Stevenson","Nate Diaz",158,-198,"155","2009-06-20",6554
2295,"Brad Tavares","Antônio Carlos Júnior",105,-125,"185","2021-01-23",1733
6645,"Alexander Gustafsson","Mauricio Rua",-270,220,"205","2012-12-08",5554
1142,"Gregory Rodrigues","Julian Marquez",-175,145,"185","2022-06-18",976
2388,"Giga Chikadze","Jamey Simmons",-840,610,"145","2020-11-07",1826
3326,"Jorge Masvidal","Darren Till",180,-230,"170","2019-03-16",2635
4131,"Leon Edwards","Bryan Barberena",-245,215,"170","2017-09-02",3383
5110,"Santiago Ponzinibbio","Court McGee",-135,115,"170","2016-04-16",4040
5880,"Ben Rothwell","Alistair Overeem",300,-350,"265","2014-09-05",4790
6660,"Patrick Cote","Alessio Sakara",-240,185,"185","2012-11-17",5569
7629,"Dan Hardy","Marcus Davis",166,-200,"170","2009-06-13",6565
1058,"Serghei Spivac","Augusto Sakai",-280,230,"265","2022-08-06",892
1147,"Maria Oliveira","Gloria de Paula",210,-260,"115","2022-06-18",981
2398,"Kevin Holland","Charlie Ontiveros",-835,555,"185","2020-10-31",1836
3340,"Niko Price","Tim Means",180,-220,"170","2019-03-09",2649
4136,"Aleksandar Rakić","Francimar Barroso",-140,120,"205","2017-09-02",3388
5113,"Cezar Ferreira","Oluwale Bamgbose",155,-185,"185","2016-04-16",4043
5894,"Anthony Hamilton","Ruan Potts",-235,200,"265","2014-08-30",4804
6675,"Riki Fukuda","Tom DeBlass",-285,235,"185","2012-11-10",5584
7640,"Frankie Edgar","Sean Sherk",275,-305,"155","2009-05-23",6576
1140,"Joaquin Buckley","Albert Duraev",190,-235,"185","2022-06-18",974
1152,"Valentina Shevchenko","Taila Santos",-625,450,"125","2022-06-11",986
2410,"Lauren Murphy","Liliya Shakirova",-225,185,"125","2020-10-24",1848
3346,"Grant Dawson","Julian Erosa",-205,175,"145","2019-03-09",2655
4152,"Daniel Cormier","Jon Jones",235,-315,"205","2017-07-29",3404
5120,"Maryna Moroz","Cristina Stanciu",-185,165,"115","2016-04-10",4050
5905,"Ben Saunders","Chris Heatherly",-400,340,"170","2014-08-23",4815
6683,"Gleison Tibau","Francisco Trinaldo",-135,110,"155","2012-10-13",5592
7652,"Luiz Cané","Steve Cantwell",-260,208,"205","2009-04-18",6588
1141,"Damir Ismagulov","Guram Kutateladze",-185,155,"155","2022-06-18",975
1173,"Jeff Molina","Zhalgas Zhumagulov",-185,155,"125","2022-06-04",1007
2423,"Guram Kutateladze","Mateusz Gamrot",265,-315,"155","2020-10-17",1861
3360,"Edmen Shahbazyan","Charles Byrd",-170,140,"185","2019-03-02",2669
4166,"Patrick Cummins","Gian Villante",180,-220,"205","2017-07-22",3418
5131,"Daniel Kelly","Antônio Carlos Júnior",400,-500,"185","2016-03-19",4061
5914,"Colby Covington","Anying Wang",-430,375,"170","2014-08-23",4824
6722,"Donald Cerrone","Melvin Guillard",-345,285,"155","2012-08-11",5631
7659,"Martin Kampmann","Carlos Condit",-124,104,"170","2009-04-01",6595
1143,"Adrian Yanez","Tony Kelley",-300,240,"135","2022-06-18",977
1187,"Jan Błachowicz","Aleksandar Rakić",170,-200,"205","2022-05-14",1021
2426,"Fares Ziam","Jamie Mullarkey",110,-130,"155","2020-10-17",1864
3373,"Ismail Naurdiev","Michel Prazeres",360,-450,"170","2019-02-23",2682
4182,"Justin Willis","James Mulheron",-185,155,"265","2017-07-16",3434
5142,"Ilir Latifi","Gian Villante",-190,160,"205","2016-03-05",4072
5929,"Dennis Bermudez","Clay Guida",-185,160,"145","2014-07-26",4839
6777,"Fabrício Werdum","Mike Russow",-500,380,"265","2012-06-23",5686
7664,"Ricardo Almeida","Matt Horwich",-305,265,"185","2009-04-01",6600
1144,"Natália Silva","Jasmine Jasudavicius",200,-240,"125","2022-06-18",978
1197,"Andre Petroski","Nick Maximov",290,-380,"185","2022-05-14",1031
2436,"Chris Daukaus","Rodrigo Nascimento",205,-235,"265","2020-10-10",1874
3386,"Luke Sanders","Renan Barão",-155,130,"135","2019-02-17",2695
4191,"Curtis Blaydes","Daniel Omielańczuk",-800,600,"265","2017-07-08",3443
