"id","name","weight","height","reach","stance","date_of_birth","gender"
146,"Daichi Abe",170,71,71,"Orthodox","1991-11-27","male"
152,"Israel Adesanya",185,76,80,"Switch","1989-07-22","male"
154,"Jessica Aguilar",115,63,63,"Orthodox","1982-05-08","female"
156,"Jesus Aguilar",125,64,62,"Orthodox","1996-03-13","male"
158,"Nick Aguirre",145,69,74,"Southpaw","1996-01-15","male"
160,"Omari Akhmedov",185,72,73,"Orthodox","1987-10-12","male"
162,"Rostem Akman",170,70,72,"Switch","1991-12-19","male"
166,"Amir Albazi",125,65,68,"Orthodox","1993-10-27","male"
168,"Junior Albini",264,75,74,"Orthodox","1991-03-15","male"
170,"Iuri Alcantara",135,69,71,"Southpaw","1980-08-04","male"
172,"Irene Aldana",135,69,68,"Orthodox","1988-03-26","female"
176,"JJ Aldrich",125,65,67,"Southpaw","1992-09-29","female"
178,"Jim Alers",145,69,71,"Orthodox","1986-10-14","male"
180,"Houston Alexander",205,72,72,"Orthodox","1972-03-22","male"
182,"Marcio Alexandre Junior",185,72,75,"Southpaw","1989-05-05","male"
184,"Sultan Aliev",170,71,74,"Orthodox","1984-09-17","male"
186,"Ikram Aliskerov",185,72,76,"Southpaw","1992-12-07","male"
188,"John Allan",205,73,75,"Orthodox","1993-02-22","male"
190,"Brendan Allen",185,74,75,"Orthodox","1995-12-28","male"
192,"Ricardo Almeida",170,72,74,"Orthodox","1976-11-29","male"
194,"Jailton Almeida",205,75,79,"Orthodox","1991-06-26","male"
196,"Sarah Alpar",135,64,63,"Southpaw","1991-06-01","female"
198,"Victor Altamirano",125,68,70,"Switch","1991-01-23","male"
202,"Thiago Alves",170,69,70,"Orthodox","1983-10-03","male"
204,"Rafael Alves",155,68,68,"Orthodox","1990-11-14","male"
206,"Adlan Amagov",170,74,76,"Orthodox","1986-10-30","male"
208,"Alen Amedovski",185,70,74,"Orthodox","1988-04-06","male"
210,"Jaqueline Amorim",115,63,68,"Orthodox","1995-06-24","female"
212,"Corey Anderson",205,75,79,"Orthodox","1989-09-22","male"
214,"Jessica Andrade",115,61,62,"Orthodox","1991-09-25","female"
220,"Chad Anheliger",135,66,64,"Orthodox","1986-12-01","male"
222,"Gadzhimurad Antigulov",205,71,70,"Orthodox","1987-02-09","male"
224,"Shinsho Anzai",170,67,70,"Orthodox","1985-12-01","male"
226,"Felipe Arantes",135,68,73,"Orthodox","1988-02-09","male"
228,"Viviane Araujo",125,64,68,"Orthodox","1986-11-21","female"
230,"Dan Argueta",135,67,68,"Southpaw","1993-08-13","male"
232,"Andrei Arlovski",240,75,77,"Orthodox","1979-02-04","male"
234,"Austin Arnett",145,72,72,"Orthodox","1991-10-22","male"
236,"Matt Arroyo",170,70,72,"Orthodox","1982-09-01","male"
240,"Askar Askarov",125,66,67,"Orthodox","1992-10-09","male"
242,"Khusein Askhabov",145,68,69,"Orthodox","1995-02-13","male"
244,"Ben Askren",170,71,73,"Orthodox","1984-07-18","male"
246,"Junior Assuncao",145,69,72,"Orthodox","1981-06-24","male"
248,"Rich Attonito",170,70,72,"Orthodox","1977-06-16","male"
250,"Marcus Aurelio",155,70,74,"Orthodox","1973-08-18","male"
252,"Julia Avila",135,67,68,"Orthodox","1988-05-11","female"
254,"Abu Azaitar",185,69,76,"Orthodox","1986-03-10","male"
256,"Hunter Azure",145,68,69,"Orthodox","1992-03-02","male"
258,"Ryan Bader",205,74,74,"Orthodox","1983-06-07","male"
260,"Ali Bagautinov",125,64,65,"Orthodox","1985-06-10","male"
262,"Siyar Bahadurzada",170,71,73,"Orthodox","1984-04-17","male"
268,"Humberto Bandenay",145,71,71,"Southpaw","1994-09-04","male"
270,"Shauna Bannon",115,65,65,"Switch","1993-10-23","female"
272,"Renan Barao",145,66,70,"Orthodox","1987-01-31","male"
274,"Bryan Barberena",170,72,72,"Southpaw","1989-05-03","male"
276,"Raoni Barcelos",135,67,67,"Orthodox","1987-05-01","male"
278,"Luke Barnatt",185,78,77,"Orthodox","1988-04-13","male"
282,"Chris Barnett",265,69,75,"Orthodox","1986-06-14","male"
284,"Peter Barrett",145,70,73,"Southpaw","1986-08-10","male"
286,"Francimar Barroso",205,73,75,"Orthodox","1980-02-28","male"
288,"Dean Barry",170,70,72,"Orthodox","1992-07-03","male"
290,"Javid Basharat",135,69,69,"Orthodox","1995-09-07","male"
