"id","r_fighter_id","b_fighter_id","location","date","championship_fight","winner","win_method","win_method_details","number_of_rounds","finish_round","finish_time","referee","r_fight_stats_id","b_fight_stats_id","r_name","b_name","total_fight_time","weight","fight_odds_id","r_fighter_odds","b_fighter_odds","r_total_stats_id","b_total_stats_id"
7265,588,695,"Las Vegas, Nevada, USA","2005-02-05",FALSE,"Nick Diaz","KO/TKO","Punches to Head On Ground",3,1,"04:40:00","John McCarthy",13763,13764,"Nick Diaz","Drew Fickett",280,"170",8247,-230,260,47086,
7469,1501,1836,"Tokyo, Japan","2000-04-14",TRUE,"Tito Ortiz","Decision - Unanimous","<i class=""b-fight-details__text-item"">",5,5,"05:00:00","John McCarthy",14171,14172,"Tito Ortiz","Wanderlei Silva",1500,"185",,,,,
7470,2695,2714,"Tokyo, Japan","2000-04-14",FALSE,"Murilo Bustamante","Submission","Arm Triangle From Side Control",3,2,"00:31:00","John McCarthy",14173,14174,"Murilo Bustamante","Yoji Anjo",331,"185",,,,,
7471,2844,2669,"Tokyo, Japan","2000-04-14",FALSE,"Sanae Kikuta","Submission","Armbar From Half Guard",3,1,"04:38:00","John McCarthy",14175,14176,"Sanae Kikuta","Eugene Jackson",278,"185",,,,,
7472,2856,2732,"Tokyo, Japan","2000-04-14",FALSE,"Ron Waterman","Decision - Unanimous","</p>",3,3,"05:00:00","John McCarthy",14177,14178,"Ron Waterman","Satoshi Honma",900,"265",,,,,
7473,2887,2733,"Tokyo, Japan","2000-04-14",FALSE,"Ikuhisa Minowa","TKO - Doctor's Stoppage","Scalp Cut",3,3,"01:54:00","John McCarthy",14179,14180,"Ikuhisa Minowa","Joe Slick",714,"185",,,,,
7474,2722,2615,"Tokyo, Japan","2000-04-14",FALSE,"Laverne Clark","Decision - Majority","</p>",3,3,"05:00:00","John McCarthy",14181,14182,"Laverne Clark","Koji Oishi",900,"155",,,,,
7461,2705,2664,"Cedar Rapids, Iowa, USA","2000-06-09",TRUE,"Kevin Randleman","Decision - Unanimous","</p>",5,5,"05:00:00","John McCarthy",14155,14156,"Kevin Randleman","Pedro Rizzo",1500,"265",,,,,
7462,,2727,"Cedar Rapids, Iowa, USA","2000-06-09",FALSE,"Tyrone Roberts","Decision - Unanimous","</p>",3,3,"05:00:00","John McCarthy",14157,14158,"Tyrone Roberts","David Dodd",900,"185",,,,,
7463,2704,179,"Cedar Rapids, Iowa, USA","2000-06-09",TRUE,"Pat Miletich","Submission","Armbar From Mount",3,2,"01:43:00","John McCarthy",14159,14160,"Pat Miletich","John Alessio",403,"170",,,,,
7464,,2728,"Cedar Rapids, Iowa, USA","2000-06-09",FALSE,"Amaury Bitetti","DQ","Kicking with Shoes by Andrade",3,2,"00:43:00","John McCarthy",14161,14162,"Amaury Bitetti","Alex Andrade",343,"185",,,,,
7465,950,,"Cedar Rapids, Iowa, USA","2000-06-09",FALSE,"Matt Hughes","TKO - Doctor's Stoppage","Facial Cut",3,1,"04:34:00","Mario Yamasaki",14163,14164,"Matt Hughes","Marcelo Aguiar",274,"170",,,,,
7466,1633,2729,"Cedar Rapids, Iowa, USA","2000-06-09",FALSE,"Jens Pulver","Decision - Unanimous","</p>",3,3,"05:00:00","Mario Yamasaki",14165,14166,"Jens Pulver","Joao Roque",900,"155",,,,,
7467,2646,,"Cedar Rapids, Iowa, USA","2000-06-09",FALSE,"Ian Freeman","KO/TKO","Knees to Head On Ground",2,2,"02:13:00","John McCarthy",14167,14168,"Ian Freeman","Nate Schroeder",433,"265",,,,,
7468,2547,,"Cedar Rapids, Iowa, USA","2000-06-09",FALSE,"Shonie Carter","Decision - Unanimous","</p>",2,2,"05:00:00","John McCarthy",14169,14170,"Shonie Carter","Adrian Serrano",600,"170",,,,,
7453,2664,2720,"New Orleans, Louisiana, USA","2000-09-22",FALSE,"Pedro Rizzo","KO/TKO","Kicks to Leg At Distance",3,1,"01:33:00","John McCarthy",14139,14140,"Pedro Rizzo","Dan Severn",93,"265",,,,46734,
7454,2717,2692,"New Orleans, Louisiana, USA","2000-09-22",FALSE,"Maurice Smith","Decision - Split","</p>",3,3,"05:00:00","John McCarthy",14141,14142,"Maurice Smith","Bobby Hoffman",900,"265",,,,,
7455,939,2669,"New Orleans, Louisiana, USA","2000-09-22",FALSE,"Jeremy Horn","Submission","Armbar From Side Control",3,1,"04:32:00","Mario Yamasaki",14143,14144,"Jeremy Horn","Eugene Jackson",272,"185",,,,,46720
